"account_id","amount"
"01node.near","6024312644192335733545846368"
"richarddixon.near","13209859495801292047321792"
"alexticea.near","3235026332296941099389943444"
"clawmvp.near","13119746979175834886378456459"
"putixin.near","5990078655234966277278869647"
"freddyflamingo.near","638136755700098688848691"
"onenewone.near","1064072406468646348783890"
"kendall.near","1064263360151152529957728"
"727f37db7bcee637254f8c62c39c4a466a014c0e08ee838164c4d70c6c1258dd","10838159220562337834527157559"
"11fdbe93d566e7514a2c22ca2f8acf48ee7d7de0939f7aeb27f5bf7a3db763e8","405482352027621529733349197"
"50c0ac6eeebe4b047b77167ad8e471ad694e8f8402b0dd1b30fb01a8071da335","109370344266375062706773"
"french_fry.near","1840428097199205282806523619"
"5a12ab872008409cc56e36565b6cd32aad3df5d8e16ada72ac8c6fb6fc673f6c","109401007123372160335942735166"
"astider.near","487780409443023113945458750"
"fcfa98ede206c05f4f5e8c65e03ff7cc0d1b67d10385aa1819d4af364e248d4f","14342054254187341122316082471"
"sokolenkoandr.near","101404448902870895619122997"
"duc8686.near","35375758270792200918443275"
"idlesession.near","10640222156765095824594725197"
"1e231e2e74bda5bdcb28c514466fe90a2b7a810fd0458489e18cf9be991bbbe3","105525400823956675170290091"
"b3ac1897207a68ecd9743017a721139d8c5a93c997de8dafe02e0bd0332880f8","3074"
"b879dab59f9825098536ab546d1a0b72eea341367d2728162a036c779cb5d651","2733747371003142359595269758"
"florinda_gomes.near","3165476624185007983458235000"
"yangchj.near","3245973931295911731197843331"
"truongvanhoa19.near","444197170455075032632467"
"mxjxn.near","1338661845568892987088030504"
"3cb985f3a086dcd4ea3b67c95c9afdadd106abbb2742145f6825ac330cb5cd8c","100873783222323601089441274468"
"boima.near","16255312781519979996163472"
"b626e748250c7198c29955523f302ab886b7f7fcb698a27bc664e12933c3495c","100758389826755111899640694876"
"44e9cdfc39fff40831720e99117afa4b786f4ac69f9eb5ed811bef03ba69c247","124148484317271940553863344"
"ab60edca11ee896b2fb3b72634d823128d9cb522d2ab4f804690244be53cbd01","3818330302358731806"
"mjoaquim.near","601536893465062844887261456"
"jija.near","649201187355965015858706"
"85fde71d90fbadab3691d1d1e43153a79da0e371ac81dfa27bb4c683f160c97f","6734852845272524858001985"
"filip.near","424344503265799448853677460"
"5ed89242d55e60388cc5e700e1b30c99b315fe1e9e742dddf9d0c92982e73c87","13582106203760166208558174"
"7d67b9600057924d00d2b7869c116d2f4301fdfed7d65f64dd1ca0b88c1884bd","2001272169461893541617412070"
"7inch_dick.near","26953665401670261004954661092"
"steefan.near","1769682862519662537354224491"
"volyxixi.near","10212161021480799330671067498"
"toth3moon.near","3728499738780358899847334745"
"thienannear.near","171792062200287704457542425"
"457dbcd73a5d1c26c5e6524e81e70c26e197f9ec6d1253db87b76185bef6cb04","108773982658026978249"
"1924b660fa158730fa37c9d47233645a5f40e770a470a5eef78cf4827ef43611","218374739376996293886442733"
"0d21cfbd4ee9255fc7fd12a851569899871ccf749f3be86b2df2fa08482ed1f6","1342425610909531255037269"
"jono.near","1196486378496754575626770518"
"bytesun.near","31424963217562431839251648"
"bingowrt.near","9423168772543147281841072856"
"luedu2020.near","1021852399544816473382238625"
"rubin315.near","371745849879065608854999399"
"warlock.near","596844531585336094488172040"
"69dfe7ab830f5168f8e2a2c2dc36b87c2533529c4c8b65c836277975cab3b10b","0"
"be40ec3392a345bc700598e56a0f463c61e327cac4fbd143f3e434bfe3279bce","0"
"ncklad.near","0"
"bitcoinrok.near","602946556795465534543839761"
"batbh.near","493430330691245476059596322"
"6fdc59099b754716a3e6b212048cf0d4366e6f70a064e1028c64ab27c02e883a","108743800227227829619592234448"
"bossman.near","1044541506941969397555269"
"goran.near","1324718174867074207237144009"
"fae718f3ce86decd8f929608dabe8cd107830e1c134b057bac4dd02e8686bea5","463122129459306116333606"
"mathtest.near","427940789328731826996744"
"gwk.near","156955093880682905136549091"
"moon.near","2176469110061520209376332595"
"aa44133cf1aaf92f867b8b7f25b4d85347093c702787ee296777991902f65292","7623370746398028852657"
"344b9e05f68608c97f1832a6eb19a34b8285db2c46bcf50b58bdccd008bd5673","2306"
"moove11.near","313052436935857123781904630"
"roche91.near","65875754450622966499474967"
"cosmos.near","108700543360502010675288751"
"5494459290fda61366622b7cfc0aa6aacbe334c18db70cf5f3eb65a2947eaa11","32750949238391839554189373701"
"aimery.near","20144063820827554257266683"
"pawellipowczan.near","180719776523108212513784205"
"historian-gray.near","9988845478552798776516796"
"rolfedoggy.near","316475457404436388204092555"
"peer.near","9472833793734354507591694"
"jurec79.near","136092979618328978175885272"
"angrykoreandad.near","189032937398619599370842795"
"melu.near","3182004514960246474499171586"
"wompwomp.near","3185586459139792973454375825"
"near001.near","7596682815195652834277914"
"harshith.near","2118708484153607111188399"
"diego.near","1085546246022552871356416"
"0ac0f660cfb48a63d84143639934edaec5d1263e2e00ececcfc8acb7a841a00c","1013137420036111882628777"
"solanarad.near","50672458250573947080442043"
"kamranbeg.near","500000520788200731725189253"
"nfendowment55.near","1073566561919074267089419128864"
"f2bf27af9327d3ce7b2ada273cd171ab8b52c261d4038d099cdc8d9dfdaf8769","106606020237546452841777868"
"c51f28e5c0dadc1cf96561f4d75f2041408feff03095e1d7b904475469d401ac","2943278809445368582257560"
"spiderpig.near","201260179583881596621882"
"b7946f544f44d92b555d6f7d0bc4c47b5d5dcb685c8b349ac1abfe29205d7f48","7801152259990175492495490835"
"gardel.near","2408090556566669745363661"
"westphil.near","94473696254107766241773789"
"newtestone.near","0"
"lucyh07.near","3204089319600222822503128"
"zy2010.near","1010193356501267463053020"
"122470ed20b0f7fbfad866e6532239ccf6d8ee7b8d9e207af62e0a4e04e03f63","54165484437512204807375348"
"shawn-chain.near","1025734637784027537550953"
"andreapn1709.near","745090818109273796837704969"
"inst.near","3219929280617981382411701"
"dominic.near","2380931203237050312038662"
"komdo.near","2597769099990080363978323362"
"moonhunter.near","3122355502931712127294725043"
"noia.near","745536557626480919283076"
"petyokamenov.near","1150432061348195591600411425"
"51676bb320cf8b3e062064d691ae07bf3ad1e51e0395a0a824709d14ee4a0e73","223143197250086212728572414043"
"daorecords.near","8614016835868719489080288"
"vandal.near","285751455119849884144200327"
"berk.near","54031351973870739368974944"
"rodnca.near","578858876142946253069540502"
"gokhan.near","1040721399792311547242410"
"9928506f2b7674c387fe8e4b90974a7c514fba02a61c2656c40f69ae4d4aa999","998296223682951746416760959"
"9f8b617a8da0aa403c05395ebfb30e3ab3c5b5fba1409325676eaa7f805844e3","1782555611172801963791083"
"linh9b9b.near","192732838724934494892368073"
"raymaker.near","0"
"komido815.near","532415979917657138141257212"
"caipirinha51.near","812356107152078277858068621"
"zhuang-1976.near","3188515157521136248146513"
"johnalliswell.near","140052472040151671528001547"
